Question,Option A,Option B,Option C,Option D,Correct,Reasoning
What are isotones?,Atoms with the same number of neutrons,Atoms with the same atomic number,Atoms with the same mass number,Atoms with the same electrons,A,Isotones are atoms with the same number of neutrons but different atomic and mass numbers.
"According to Rutherford's atomic model, where is most of the mass of an atom concentrated?",In the electron shells,In the nucleus,Uniformly distributed,On the surface,B,Rutherford discovered that the nucleus contains most of the atom's mass and positive charge.
"In Rutherford's model, what is the nucleus made of?",Only protons,Protons and neutrons,Only electrons,Only neutrons,B,The nucleus contains both protons and neutrons; electrons orbit around it.
What is the main limitation of Rutherford's atomic model?,It ignored the existence of neutrons,It could not explain the stability of electrons in orbit,It assumed electrons were stationary,It did not account for mass,B,Rutherford's model could not explain why orbiting electrons don't lose energy and spiral into the nucleus.
What does Bohr's atomic model propose?,Electrons orbit in fixed circular paths with specific energy levels,Electrons are randomly distributed in the nucleus,Protons orbit around electrons,All electrons have the same energy,A,Bohr proposed that electrons occupy fixed circular orbits (shells) with discrete energy levels.
"According to Bohr's model, what happens when an electron jumps from one shell to another?",Its mass changes,It absorbs or releases energy in the form of light,Its charge changes,It leaves the atom,B,"When electrons transition between shells, they absorb or emit energy as photons (light)."
What is valency?,The atomic mass of an element,The number of electrons in the outermost shell,The combining capacity of an element,The number of protons in an atom,C,"Valency is the combining capacity of an element, related to electrons in the valence (outermost) shell."
What is the valency of Oxygen (atomic number 8)?,2,6,8,4,A,"Oxygen (configuration 2,6) has 6 valence electrons. To complete octet, it needs 2 more, so valency is 2."
Calculate the valency of Carbon (atomic number 6).,2,4,6,8,B,"Carbon (configuration 2,4) has 4 valence electrons and can gain or lose 4 electrons, so valency is 4."
What is the valency of Sodium (atomic number 11)?,1,2,3,11,A,"Sodium (configuration 2,8,1) has 1 electron in outermost shell, so valency is 1."
An element has valency 3. How many electrons does it need to gain or lose to become stable?,Cannot determine,3,It can either gain 3 or lose 3 electrons,Depends on the element,C,An element with valency 3 can gain 3 electrons or lose 3 electrons to achieve a stable configuration.
What is an ion?,A neutral atom,An atom or molecule that has gained or lost electrons,A subatomic particle,A type of isotope,B,An ion is a charged particle formed when atoms gain (anion) or lose (cation) electrons.
What is a cation?,A negatively charged ion,A positively charged ion,A neutral atom,An isotope,B,A cation is a positively charged ion formed when an atom loses electrons.
An atom with atomic number 11 loses one electron. What is the charge on the resulting ion?,-1,1,0,11,B,Loss of one electron creates a +1 charge. This is Na⁺ (sodium cation).
What is an anion?,A positively charged ion,A negatively charged ion,A neutral atom,An isotope,B,An anion is a negatively charged ion formed when an atom gains electrons.
An atom with atomic number 8 gains two electrons. What is the charge on the resulting ion?,2,-2,0,8,B,Gain of two electrons creates a -2 charge. This is O²⁻ (oxygen anion).
What does the electronic configuration of an atom show?,The mass of the atom,The arrangement of electrons in shells,The number of protons,The location of neutrons,B,Electronic configuration describes how electrons are distributed in different shells or energy levels.
Write the electronic configuration of Chlorine (atomic number 17).,"2,7","2,8,7","2,8,8","2,8,6",B,"Chlorine has 17 electrons: 2 in first shell, 8 in second shell, 7 in third shell. Configuration: 2,8,7."
What is the maximum number of electrons in the first shell?,2,8,18,32,A,The first shell (K shell) can hold a maximum of 2 electrons.
What is the maximum number of electrons in the second shell?,2,8,18,32,B,The second shell (L shell) can hold a maximum of 8 electrons.
Which scientist proposed that atoms contain a nucleus?,Thomson,Bohr,Rutherford,Dalton,C,Rutherford proposed the nuclear model of the atom based on his famous gold foil experiment.
What is the Rutherford Gold Foil Experiment?,An experiment to find electrons,An experiment showing atoms are divisible by bombarding with alpha particles,An experiment to discover neutrons,An experiment to prove Bohr's model,B,Rutherford's experiment showed that most of the atom is empty space and mass is concentrated in a small nucleus.
Which of the following is true about neutral atoms?,Number of protons ≠ Number of electrons,Number of protons = Number of electrons,Number of protons = Number of neutrons,Number of electrons = Number of neutrons,B,"In neutral atoms, the number of protons equals the number of electrons, making the atom electrically neutral."
Two atoms have the same atomic number but different mass numbers. They are:,Isobars,Isotones,Isotopes,Isomers,C,Isotopes have the same atomic number (same element) but different mass numbers.
Isotopes of an element have the same:,Atomic number and mass number,Atomic number only,Mass number only,Number of neutrons,B,Isotopes of the same element have the same atomic number but different mass numbers.
Which pair are isotopes?,¹⁴N and ¹⁴C,¹²C and ¹⁴C,¹H and ²He,¹⁶O and ¹⁷F,B,"¹²C and ¹⁴C are both carbon (same atomic number 6) but have different mass numbers, making them isotopes."
What is the number of neutrons in ¹⁶O (oxygen)?,8,16,24,Cannot determine,A,"Mass number = Protons + Neutrons. For ¹⁶O: 16 = 8 + Neutrons, so Neutrons = 8."
An atom has 15 protons and 16 neutrons. What is its mass number?,15,16,31,1,C,Mass number = Protons + Neutrons = 15 + 16 = 31. This is Phosphorus-31 (³¹P).
The valency of an element is determined by:,The number of protons,The number of neutrons,The number of electrons in the valence shell,The total number of electrons,C,Valency depends on the number of electrons in the outermost shell (valence shell).
Which element has valency 0 (inert)?,Oxygen,Chlorine,Helium,Hydrogen,C,Helium has a complete outer shell (2 electrons) with no valency; it is chemically inert.
What is the atomic number of an element that has 7 electrons?,7,Cannot determine without knowing neutrons,Depends on mass number,14,A,"In a neutral atom, atomic number = number of electrons. So, 7 electrons means atomic number 7 (Nitrogen)."
"If an element X has atomic number 12, how many electrons must it lose to become X²⁺?",10,2,12,14,B,"To form X²⁺, the element must lose 2 electrons (forming a cation with +2 charge)."
What defines an element?,The number of protons in an atom,The number of neutrons in an atom,The total number of subatomic particles,The electronic configuration,A,An element is defined by the number of protons (atomic number) in its atoms. All atoms of an element have the same atomic number.
The nucleon number is another term for:,Atomic number,Mass number,Valency,Electronic configuration,B,"Nucleon number is the total number of nucleons (protons + neutrons), which is the mass number."
Which of the following statements is correct?,Isotopes of an element have different atomic numbers,Isobars have the same atomic number,Isotones have different numbers of neutrons,Isotopes have the same mass number,C,Isotones have the same number of neutrons but different atomic numbers. Isotopes have different mass numbers but same atomic number.
A sample contains two atoms: ¹²C and ¹³C. They are:,Different elements,Isotopes of carbon,Isobars,Ions of carbon,B,"Both have atomic number 6 (carbon) but different mass numbers (12 and 13), making them isotopes of carbon."
