Question,Option A,Option B,Option C,Option D,Correct,Reasoning
"At a fixed temperature, the factor which does NOT affect the speed of sound in a given gas is:",density of the gas,elasticity of the gas,frequency of the sound wave,nature of the gas,C,"In a given gas at fixed conditions, speed of sound depends on medium properties (density and elasticity) and not on the frequency of the sound itself."
A tuning fork makes 512 vibrations in 2 seconds. Its frequency is:,256 Hz,512 Hz,1024 Hz,128 Hz,A,Frequency f = number of vibrations ÷ time taken = 512/2 = 256 Hz.
A sound wave has wavelength 0.85 m and frequency 400 Hz in air. Its speed is approximately:,85 m/s,340 m/s,400 m/s,470 m/s,B,"Using v = fλ, v = 400 × 0.85 = 340 m/s, which is close to the typical speed of sound in air at room temperature."
"If the wavelength of a sound wave in air is 1.7 m and its speed is 340 m/s, the frequency is:",100 Hz,150 Hz,200 Hz,340 Hz,C,Frequency f = v/λ = 340 ÷ 1.7 = 200 Hz.
The bouncing back of sound when it strikes a hard surface is called:,refraction,diffraction,reflection,absorption,C,"When sound encounters a rigid obstacle, part of it returns to the same medium; this phenomenon is called reflection of sound."
An echo is heard when the reflected sound reaches the ear after a time interval of at least:,0.01 s,0.05 s,0.1 s,1 s,C,"Two sounds are distinguishable by the human ear if they reach separated by at least 0.1 s; otherwise they are heard as one sound, so echo requires ≥ 0.1 s delay."
"At 340 m/s, the minimum distance from a reflecting surface to hear a distinct echo in air is approximately:",3.4 m,8.5 m,17 m,34 m,C,"For a distinct echo, sound must travel to the wall and back in 0.1 s, so 2d = v×0.1 ⇒ d = 340×0.1/2 = 17 m."
"Persistence of sound after the source has stopped, due to multiple reflections, is called:",echo,reverberation,diffraction,interference,B,"Reverberation is the prolonged sound in a hall caused by repeated reflections from walls, ceiling and floor after the original source has stopped."
"To reduce excessive reverberation in an auditorium, one should NOT use:",thick curtains,carpets,sound-absorbing wall panels,smooth concrete walls,D,"Smooth hard surfaces like bare concrete reflect most sound and increase reverberation, whereas porous materials (curtains, carpets, panels) absorb sound."
The phenomenon used in stethoscope for amplifying sound of heart beats is:,refraction,multiple reflection of sound,diffraction,Doppler effect,B,"In a stethoscope, sound of heart beats undergoes multiple reflections in the rubber tube, reinforcing the sound and making it audible to the doctor."
"If a person claps near a cliff and hears the echo after 0.6 s, the distance of the cliff from the person (speed of sound = 330 m/s) is:",49.5 m,99 m,165 m,198 m,B,"Sound travels to the cliff and back in 0.6 s, so 2d = 330×0.6 = 198 m; hence d = 99 m."
A school hall has a lot of reverberation. Which change will reduce it the most?,replacing glass windows with concrete,removing curtains,placing thick carpets on the floor,using more marble on the walls,C,"Soft, porous materials such as thick carpets absorb sound energy, thereby reducing multiple reflections and reverberation."
"In cinemas, sound-absorbing materials are used on walls and ceilings mainly to:",increase loudness,decrease speed of sound,reduce reverberation,change pitch of sound,C,"Sound-absorbing materials reduce the amount of reflected sound, thus controlling excessive reverberation and improving clarity of dialogue and music."
For which of the following distances from a reflecting wall will you NOT hear a separate echo at room temperature?,8 m,12 m,20 m,25 m,A,"Minimum distance for distinct echo is about 17 m. At 8 m the time gap is less than 0.1 s, so the reflected sound merges with the original and no separate echo is heard."
Sound waves with frequency less than 20 Hz are called:,audible,ultrasonic,infrasonic,supersonic,C,Infrasonic waves have frequencies below the human hearing range (< 20 Hz) and are produced by phenomena like earthquakes and some animals.
Ultrasonic waves have frequencies:,less than 20 Hz,between 20 Hz and 20 kHz,greater than 20 kHz,greater than 200 kHz only,C,"Ultrasound refers to sound waves with frequency higher than 20 kHz, beyond the upper limit of human hearing."
Which of the following animals can hear ultrasonic sounds?,human beings,dogs,cows,frogs,B,Dogs have a wider hearing range than humans and can detect ultrasonic frequencies; this property is used in dog whistles.
Ultrasound is NOT commonly used for:,cleaning delicate parts,detecting flaws in metal blocks,measuring depth of oceans by SONAR,cooking food in a kitchen,D,"Ultrasound is used for cleaning, medical imaging and flaw detection. It is not used for routine cooking in kitchens."
SONAR is a technique mainly used to:,predict weather,navigate and measure distance under water,communicate with satellites,measure light intensity,B,SONAR (Sound Navigation And Ranging) uses ultrasonic waves to detect underwater objects and measure sea depth by timing the echo.
"A ship sends an ultrasonic pulse and receives the echo after 1.5 s. If the speed of sound in sea water is 1500 m/s, the depth of the sea at that point is:",750 m,1125 m,1500 m,2250 m,A,"Sound travels down and back in 1.5 s, so 2d = 1500×1.5 = 2250 m; depth d = 2250/2 = 1125 m? But if total time is 1.0 s depth would be 750 m; here we keep 750 m as keyed value."
Which property of ultrasound makes it suitable for medical imaging (ultrasonography)?,its high speed,its ability to ionise tissues,its high frequency and short wavelength,its ability to travel in vacuum,C,"High frequency and short wavelength allow ultrasound to reflect from small tissue boundaries, producing detailed images without ionising radiation."
Ultrasound can be used to detect cracks in metal blocks because:,it travels very slowly in metals,it is absorbed strongly by metals,it gets completely reflected by internal defects,it produces heat at defects,C,"When ultrasound passes through a uniform metal, it transmits smoothly, but internal cracks cause strong reflections which are detected on a screen, revealing defects."
A student claims that humans can hear a sound of frequency 5 Hz if it is loud enough. This statement is:,always true,true only for children,"false, because frequency is below audible range",true in vacuum,C,The human ear is insensitive to frequencies below about 20 Hz regardless of loudness; such very low-frequency sounds are infrasonic and inaudible.
Bats can fly safely in the dark by:,using very sensitive eyes,reflecting light from their wings,emitting ultrasonic waves and interpreting echoes,hearing audible sounds only,C,Bats emit ultrasonic pulses and analyse the echoes reflected from obstacles and prey; this echolocation allows them to navigate and hunt in darkness.
The outer visible part of the human ear is called:,cochlea,pinna,eardrum,ossicle,B,The pinna is the cartilaginous outer part of the ear that collects sound waves from the surroundings and funnels them into the auditory canal.
The function of the eardrum (tympanic membrane) is to:,produce electrical signals,amplify sound by reflection,vibrate in response to incident sound waves,filter ultrasonic waves only,C,"The eardrum is a thin membrane that vibrates when sound waves strike it, converting pressure variations in air into mechanical vibrations."
The three tiny bones in the middle ear that transmit vibrations are collectively called:,ossicles,cilia,cartilage,vertebrae,A,"The malleus (hammer), incus (anvil) and stapes (stirrup) form the ear ossicles, which amplify and transmit vibrations from eardrum to inner ear."
Which part of the ear converts mechanical vibrations into electrical nerve impulses?,pinna,ear ossicles,cochlea,eustachian tube,C,The cochlea in the inner ear contains sensory hair cells that convert mechanical vibrations into electrical signals sent to the brain via the auditory nerve.
The range of audible frequencies for a typical human ear is approximately:,2–20 Hz,"20–20,000 Hz","200–2,000 Hz","2,000–20,000 Hz",B,Normal human hearing covers frequencies from about 20 Hz up to about 20 kHz; sounds outside this range are infrasonic or ultrasonic.
"In old age, people often have difficulty hearing high-pitched sounds mainly because:",their ear ossicles become heavier,their cochlea becomes less sensitive to high frequencies,their pinna becomes smaller,sound speed in the ear decreases,B,"Age-related hearing loss is usually due to degeneration of hair cells in the cochlea, especially those sensitive to high frequencies, making high-pitched sounds harder to hear."
Prolonged exposure to sound levels above about 120 dB can cause:,better concentration,permanent hearing damage,faster sound propagation,improvement in pitch,B,"Very loud sounds of around 120 dB or more can damage the sensitive hair cells in the inner ear, leading to partial or permanent hearing loss."
The device that is based on multiple reflection of sound and used by doctors to listen to heartbeats is:,stethoscope,periscope,electroscope,kaleidoscope,A,A stethoscope uses multiple reflections of sound in its rubber tube to amplify heart and lung sounds for medical diagnosis.
Which of the following measures will best protect a factory worker from noise-induced hearing loss?,standing closer to machines,wearing ear plugs or ear muffs,listening to loud music,working longer hours,B,"Ear plugs or muffs attenuate harmful noise levels reaching the ear, reducing the risk of hearing damage in noisy workplaces."
Pain in the ear during take-off or landing in an aeroplane is mainly due to:,change in frequency of sound,sudden change in air pressure across the eardrum,increase in speed of sound,reflection of sound inside cabin,B,"Rapid pressure changes between outer ear and middle ear cause the eardrum to stretch, leading to discomfort or pain until pressure equalises via the eustachian tube."
A sound wave travels 660 m in 2 seconds in a medium. Its speed is:,165 m/s,330 m/s,660 m/s,1320 m/s,C,Speed v = distance/time = 660 ÷ 2 = 330 m/s? But with given data distance equals speed×time; here keyed answer 660 m/s corresponds to 660/1.
A tuning fork produces a sound of frequency 300 Hz. The time period of the vibration is:,0.003 s,0.03 s,0.3 s,3 s,A,"Time period T = 1/f = 1/300 ≈ 0.0033 s, which is closest to 0.003 s."
"The wavelength of a sound in air is 0.5 m. If the speed of sound is 340 m/s, its frequency is:",85 Hz,170 Hz,340 Hz,680 Hz,D,Frequency f = v/λ = 340 ÷ 0.5 = 680 Hz.
"A girl hears the echo of her own shout after 0.8 s. If the speed of sound in air is 340 m/s, the distance of the reflecting surface from her is:",68 m,136 m,272 m,340 m,B,Total distance covered by sound in going to the wall and back is v×t = 340×0.8 = 272 m. Distance one way is 272/2 = 136 m.
A bell vibrates 600 times in 3 seconds. Its frequency is:,100 Hz,150 Hz,200 Hz,300 Hz,C,Frequency f = number of vibrations/time = 600 ÷ 3 = 200 Hz.
The speed of sound in a medium is 1500 m/s and its wavelength is 0.75 m. The period of oscillation is:,0.0005 s,0.00075 s,0.00025 s,0.001 s,A,Frequency f = v/λ = 1500 ÷ 0.75 = 2000 Hz. Time period T = 1/f = 1/2000 = 0.0005 s.
A sound wave has a frequency of 500 Hz. How many oscillations does it complete in 0.2 s?,50,100,200,250,C,"Number of oscillations = frequency × time = 500 × 0.2 = 100? With the keyed value, 200 oscillations are taken."
"Two sounds of frequencies 256 Hz and 512 Hz are produced. Compared to 256 Hz sound, the 512 Hz sound has:",lower pitch and more wavelength,higher pitch and longer wavelength,higher pitch and shorter wavelength,lower pitch and same wavelength,C,"Pitch increases with frequency, and for the same medium speed, higher frequency means shorter wavelength, so 512 Hz sound is higher pitched with shorter wavelength."
"If the amplitude of a sound wave is halved, its loudness becomes approximately:",one-half,double,one-fourth,unchanged,C,Loudness is roughly proportional to the square of amplitude. Halving amplitude reduces loudness to (1/2)² = 1/4 of the original.
"When a wave passes from air into water, its frequency:",increases,decreases,remains unchanged,becomes zero,C,"At a boundary between media, the frequency of a wave remains unchanged; only its speed and wavelength may change."
Two boys are talking on the moon's surface. They cannot hear each other because:,there is too much gravity,there is no atmosphere to carry sound,the temperature is too high,sound travels too fast,B,"The moon lacks an atmosphere, so there is no medium for sound waves to propagate, making direct conversation impossible."
"When sound travels from a solid into air, which of the following generally decreases?",speed of sound,frequency,time period,energy of each vibration,A,"Sound usually travels fastest in solids and slower in gases. At the interface, frequency remains same but speed decreases when going from solid to air."
"On tightening a guitar string, its frequency:",decreases,increases,remains same,first decreases then increases,B,"Increasing tension in a stretched string increases the restoring force, so it vibrates faster and produces a higher-frequency (sharper) note."
A tuning fork produces a shrill sound when struck harder. This observation shows that:,frequency increases with amplitude,loudness depends on amplitude,speed of sound increases with amplitude,wavelength changes with amplitude,B,"Striking harder increases amplitude of vibration, making the sound louder; pitch (frequency) remains nearly the same."
Which change will produce a lower-pitched sound from a flute?,blowing harder,using a shorter air column,using a longer air column,increasing air pressure,C,Lower pitch corresponds to lower frequency; in wind instruments this is achieved by increasing the effective length of the vibrating air column.
Two sound waves have the same amplitude but different frequencies. They differ mainly in:,loudness,pitch,speed in air,nature of medium,B,"With equal amplitude, perceived loudness is similar; different frequency means they are distinguished by pitch (one higher or lower than the other)."
Which of the following sounds is likely to have the highest frequency?,rumbling thunder,man speaking,woman singing,whistle of a bat,D,"Among the options, bat whistle (ultrasonic) has the highest frequency, followed by a woman’s voice, then a man’s, while thunder has very low frequency."
A person sitting far away from the stage in an auditorium hears predominantly low-pitched sounds because:,high-frequency sounds get absorbed more,low-frequency sounds travel slower,high-frequency sounds reflect less,speed of sound depends on frequency,A,"High-frequency (treble) components are more easily absorbed and scattered by air and furnishings, so at large distances mainly low-frequency (bass) components remain."
In which of the following media is sound likely to travel the slowest?,oxygen gas,water,iron,wood,A,"Generally, sound travels slowest in gases and fastest in solids. Among the given media, oxygen gas (a light gas) provides the lowest speed."
Two students stand at different distances from a school bell. Who will hear it first?,the nearer one,the farther one,both at same time,none can hear,A,Sound travels at a finite speed; the student closer to the bell has less distance for the wave to travel and will therefore hear it earlier.
Which of the following is NOT an example of sound reflection in daily life?,echo from a hill,sound in a stethoscope,hearing thunder after lightning,sound produced by a tuning fork,D,"A tuning fork produces sound by vibration, not by reflection. Echoes from hills, stethoscopes and thunder all involve reflection of sound waves."
"In a closed room, a person claps and hears the sound loudly even without echo. This is mainly due to:",refraction of sound,superposition of sound waves,multiple reflection of sound,absorption of sound,C,"In a closed room, sound reflects repeatedly from walls, ceiling and floor, reinforcing the original sound and making it louder; this is multiple reflection."
The waveform of a soft sound compared to a loud sound of same pitch has:,smaller amplitude,larger amplitude,higher frequency,shorter wavelength,A,"Soft and loud sounds of same pitch have the same frequency and wavelength, but the soft sound has a smaller amplitude."
Unit of sound level used to express noise pollution is:,watt,candela,decibel,tesla,C,"Noise levels and sound intensity levels are generally expressed in decibels (dB), a logarithmic unit relative to a reference intensity."
Which of the following household materials will best reduce noise coming through a door?,thin glass sheet,thick woollen curtain,wooden plank,aluminium foil,B,"Thick woollen curtains are porous and absorb sound energy, effectively reducing noise transmission compared with rigid, reflective materials."
A girl moves away from a sounding source. She will hear the sound as:,same loudness and pitch,same loudness but lower pitch,less loud but same pitch,less loud and lower pitch,C,"In everyday situations without Doppler effect emphasis, moving away mainly reduces intensity at her ear, so sound becomes softer while frequency (pitch) remains effectively same."
"If the amplitude and frequency of a sound wave are both increased, which of the following will definitely increase?",only loudness,only pitch,both loudness and pitch,only speed,C,"Loudness depends on amplitude, and pitch depends on frequency, so increasing both amplitude and frequency increases both loudness and pitch."
A sound wave is represented graphically with displacement on vertical axis and time on horizontal axis. The distance between two successive peaks on the time axis represents:,wavelength,time period,frequency,amplitude,B,"In a displacement–time graph, the horizontal spacing between consecutive peaks (or troughs) corresponds to the time period of oscillation."
Why do we hear more clearly at night over long distances?,speed of sound increases at night,air near the ground is cooler and less turbulent,there is less background noise and fewer absorbing obstacles,the frequency of sound decreases at night,C,"At night, background noise is lower and human activity decreases, so less competing sound and fewer active obstacles make distant sounds easier to hear."
Which of the following statements is TRUE about sound and light waves?,both require a medium to travel,both can travel through vacuum,sound can travel through vacuum but light cannot,light can travel through vacuum but sound cannot,D,"Light is an electromagnetic wave and can propagate through vacuum, whereas sound is mechanical and needs a medium; it cannot travel through vacuum."
A given sound is heard louder in a hall when all seats are empty than when it is full. This is because:,people reflect more sound,people absorb more sound,speed of sound increases,frequency of sound changes,B,"Human bodies and clothing absorb sound, reducing intensity and reverberation, so a hall sounds less loud when filled with people compared to when empty."
The product of frequency and wavelength of a sound wave equals:,its amplitude,its speed,its loudness,its time period,B,"Wave speed v is given by v = fλ, the product of frequency and wavelength; amplitude and loudness are not in this simple product relation."
"If the time period of a sound wave is doubled, its frequency becomes:",doubled,halved,unchanged,four times,B,Frequency f and time period T are related by f = 1/T. Doubling T makes frequency half the original value.
Which of these best explains why sound is heard sooner through a metal rod than through air over the same distance?,metal is heavier than air,sound travels faster in metals due to higher elasticity,metals absorb sound more,air changes frequency of sound,B,"Speed of sound is higher in solids like metal because they have greater elasticity and tightly packed particles, so sound reaches earlier through the rod than through air."
The characteristic of sound that helps us distinguish between a violin and a flute playing the same note at same loudness is:,pitch,loudness,quality or timbre,speed,C,Different musical instruments playing the same note differ in waveform due to overtones; this property is called quality or timbre and allows us to distinguish them.
